Game,Winner Move,LLM Move,Correct
151,Qxe7#,Qxe7#,True
152,Rh8#,Rh8#,True
153,Qxf8#,Qxf8#,True
154,Qxa7#,Qxa7#,True
155,Rh3#,Qh4#,False
156,Rh8#,Rh8#,True
157,Qxe2#,Qb1#,False
158,Qf7#,Qf7#,True
159,Qg2#,Qg2#,True
160,Qxh2#,Qxh2#,True
161,Bxd4#,Qc1#,False
162,Qxh7#,Qxh7#,True
163,Nh6#,Nh6#,True
164,Rg8#,Rg8#,True
165,Qh8#,Qh8#,True
166,Qxh7#,Qxh7#,True
167,Qg7#,Qh5#,False
168,Qxb7#,Qxb7#,True
169,Qh5#,Qh5#,True
170,Qxa8#,Qxa8#,True
171,Qg2#,Qg2#,True
172,Rf8#,Qf8#,False
173,Be5#,Bc5#,False
174,Qf4#,Qf4#,True
175,Qxh2#,Qxh2#,True
176,Qh1#,Qh1#,True
177,Ra8#,Ra8#,True
178,Qg2#,Qh1#,False
179,Rc5#,Rc5#,True
180,Ne7#,Qe1#,False
181,Qg7#,Qh7#,False
182,Qxf2#,Qxf2#,True
183,Rh3#,Rh2#,False
184,Qxf1#,Qxf1#,True
185,Qxb7#,Qxb7#,True
186,Qxg2#,Qxg2#,True
187,Qxf7#,Qxf7#,True
188,Qg2#,Qg2#,True
189,Qf7#,Qf7#,True
190,Qxc7#,Qxc7#,True
191,Qxf8#,Qxf8#,True
192,Be7#,Qh1#,False
193,Qxf2#,Qh6#,False
194,Ba3#,Qc3#,False
195,Rxb3#,Qg8#,False
196,Qxf7#,Qxf7#,True
197,Qxd7#,Qh5#,False
198,Qf7#,Qf6#,False
199,Rg1#,Rg1#,True
200,Nf7#,Qg8#,False
201,Qd6#,Qd6#,True
202,Qxh2#,Qxf3#,False
203,Qxg2#,Qxg2#,True
204,Qxg7#,Qxg7#,True
205,Re3#,Rdd8#,False
206,Qxd1#,Qxd1#,True
207,Rcxf3#,Rcxf3#,True
208,Rh1#,Rh1#,True
209,Qxf2#,Qxf2#,True
210,Qxh6#,Qxh6#,True
211,Rb4#,Rc6#,False
212,Qxc7#,Qxc7#,True
213,Qh1#,Qh1#,True
214,Qxh1#,Qxh1#,True
215,Qh3#,Qh3#,True
216,Qe8#,Qe8#,True
217,Rg2#,Rh8#,False
218,Rf8#,,False
219,Qxh7#,Qxh7#,True
220,Qf7#,Qf7#,True
221,Rh3#,Rh3#,True
222,Qh8#,Qh8#,True
223,Qg8#,Qg8#,True
224,Qxe7#,Qxe7#,True
225,Qf7#,Qh7#,False
226,Rf1#,Rh2#,False
227,Qxg7#,Qe5#,False
228,Qxc7#,Qxc7#,True
229,Qf7#,Qf7#,True
230,Rh1#,Qh6#,False
231,Qe2#,Qh1#,False
232,Rh8#,Rh8#,True
233,Qxc6#,Qd8#,False
234,Qh5#,Qh5#,True
235,Re1#,Nf3#,False
236,Qh2#,Qh2#,True
237,Qb7#,Qb7#,True
238,Qb1#,Qb1#,True
239,Qh4#,Qh4#,True
240,Qxg7#,Qxg7#,True
241,Qh3#,Qh1#,False
242,Rh4#,Rh4#,True
243,Qxa7#,Qxa7#,True
244,Ra8#,Ra8#,True
245,Rxe8#,Qxf7#,False
246,Qxh7#,Qxh7#,True
247,Bf7#,Bf7#,True
248,Qxf2#,Qxf2#,True
249,Ne6#,Ne6#,True
250,Ng3#,Qg1#,False
251,Rg2#,Rg2#,True
252,Qxf7#,Qxf7#,True
253,Qf7#,Qh6#,False
254,Rd8#,Rd8#,True
255,Qxe1#,Qxe1#,True
256,Rh3#,Rg2#,False
257,Qb8#,Qb8#,True
258,Qxf2#,Qxf2#,True
259,Rf8#,Rf5#,False
260,Be4#,Rh7#,False
261,Qxg2#,Qxg2#,True
262,Ra7#,Ra7#,True
263,Qe2#,Qe2#,True
264,Qg5#,Qg5#,True
265,Qh4#,Qh4#,True
266,Rh5#,Qh5#,False
267,Ng3#,Qh2#,False
268,Qxe3#,Qxe3#,True
269,Nc7#,Nc7#,True
270,Re8#,Qh7#,False
271,Qa8#,Qb7#,False
272,Qxe1#,Qxe1#,True
273,Qxg2#,Qxg2#,True
274,Rxe8#,Rxe8#,True
275,Qh7#,Qh7#,True
276,Qh8#,Qh8#,True
277,Qxg7#,Qh3#,False
278,Qxf8#,Qxf8#,True
279,Qxg2#,Qxg2#,True
280,Qxd4#,Qxd4#,True
281,Qca7#,Qc6#,False
282,Qf4#,Qh4#,False
283,Rf8#,Rf8#,True
284,Qd7#,Qe7#,False
285,Ra3#,Ra3#,True
286,Qf4#,Qg6#,False
287,Ra7#,Qa4#,False
288,Qf7#,Qh8#,False
289,Qe5#,Qa5#,False
290,Qxf7#,Qxf7#,True
291,Rxd1#,Rxd1#,True
292,Qh7#,Qh7#,True
293,Qxg7#,Qxg7#,True
294,Qh8#,Qh8#,True
295,Qb6#,Qh2#,False
296,Qxf7#,Qxf7#,True
297,Ra1#,Ra1#,True
298,Qxg8#,Qxg8#,True
299,Qxg7#,Qxg7#,True
300,Qe7#,Qe7#,True
301,Qh8#,Qh8#,True
302,Qxf7#,Qxf7#,True
303,Qa8#,Qa8#,True
304,Qg8#,Qg8#,True
305,Rg1#,Rg1#,True
306,Qxe1#,Qxe1#,True
307,Rh5#,Rh5#,True
308,Ra8#,Qb8#,False
309,Qg3#,Qg3#,True
310,Rc8#,Rc8#,True
311,Qb2#,Qh6#,False
312,Qg1#,Qg1#,True
313,Qh5#,Qh5#,True
314,Qxh7#,Qxh7#,True
315,Ra5#,Ra5#,True
316,Qxd7#,Qxg3#,False
317,Qg2#,Qg2#,True
318,Qa5#,Qa5#,True
319,Qf5#,Qf5#,True
320,Rc1#,Qd1#,False
321,Rg1#,Qe1#,False
322,Rc3#,Rc3#,True
323,Nxb6#,Qa6#,False
324,Qxg7#,Qxg7#,True
325,Qxh2#,Qxh2#,True
326,Qc1#,Qh6#,False
327,Qxg7#,Qxg7#,True
328,Qxg2#,Qh6#,False
329,Ra8#,Rh8#,False
330,Ra3#,Ra3#,True
331,Qxg7#,Qxg7#,True
332,Rxh6#,Rh7#,False
333,Qxf2#,Qxf2#,True
334,Qxf7#,Qxf7#,True
335,Qh7#,Qh7#,True
336,Qxg2#,Qxg2#,True
337,Qg8#,Qg8#,True
338,Qg2#,Qg2#,True
339,Qf7#,Qf7#,True
340,Qh5#,Qh5#,True
341,Rag2#,Ra1#,False
342,Qh7#,Qh1#,False
343,Qh1#,Qh1#,True
344,Qxc3#,Qxc3#,True
345,Bf6#,Bg4#,False
346,Rf1#,Qf1#,False
347,Qxg2#,Qxg2#,True
348,Qh2#,Qh2#,True
349,Qxh2#,Qxh2#,True
350,Ra1#,Qa4#,False
351,Rd4#,Qf4#,False
352,Rh8#,Rh8#,True
353,Qd1#,Qc2#,False
354,Qxb2#,Qb4#,False
355,Qb7#,Qb7#,True
356,Qxf7#,Qxf7#,True
357,Qh5#,Qh5#,True
358,Qg2#,Qg2#,True
359,Qxg7#,Qxg7#,True
360,Qxh7#,Qxh7#,True
361,Qc3#,Qc3#,True
362,Qh7#,Qh7#,True
363,Bf4#,Qh7#,False
364,Qe7#,Qh6#,False
365,Rf4#,,False
366,Ra1#,Ra1#,True
367,Qc3#,Qd3#,False
368,Qf7#,Qf7#,True
369,Qxe8#,Qxe8#,True
370,Qg7#,Qg7#,True
371,Qxg7#,Qxg7#,True
372,Q1xd1#,Q1d2#,False
373,Qxf2#,Qxf2#,True
374,Rxh7#,Rxh7#,True
375,Qxg2#,Qxg2#,True
376,R1b5#,R1b5#,True
377,Qxg2#,Qxh3#,False
378,Qf7#,Qh8#,False
379,h4#,Qh5#,False
380,Rxd8#,R1d6#,False
381,Qxe2#,Qxe2#,True
382,Qa7#,Qa7#,True
383,Qxf7#,Qxe5#,False
384,Qxg2#,Qxg2#,True
385,Qxg7#,Qxg7#,True
386,Qd7#,Qc8#,False
387,g4#,Rd1#,False
388,Rh1#,Rh1#,True
389,Qxg7#,Qxg7#,True
390,Qxf1#,Qxf1#,True
391,Qh1#,Qh1#,True
392,Qh2#,Qh2#,True
393,Ra1#,Rg1#,False
394,Bf7#,Qa4#,False
395,Qe5#,Qf8#,False
396,Qxf2#,Qxf2#,True
397,Rb2#,Rb2#,True
398,Rh4#,Rh4#,True
399,Qg7#,Qg7#,True
400,Qf6#,Qf6#,True
401,Qc8#,Qc8#,True
402,Qh8#,Qh8#,True
403,Qh2#,Qh2#,True
404,Qxg3#,Qxg3#,True
405,Qxg2#,Qxg2#,True
406,Qb2#,Qb2#,True
407,Qe4#,Qa4#,False
408,Qd7#,Qd7#,True
409,Qcxd4#,Qc8#,False
410,Qxf7#,Qxf7#,True
411,Rb8#,Qb5#,False
412,Rxb7#,Rxb7#,True
413,Rxe1#,Qf2#,False
414,Qxc7#,Qxc7#,True
415,Qd2#,Qd2#,True
416,Qg7#,Qxh7#,False
417,Re1#,Re1#,True
418,Qf7#,Qf7#,True
419,Qxg2#,Qxg2#,True
420,Qxf1#,Qxf1#,True
421,Qe2#,Qe2#,True
422,Qb8#,Qb8#,True
423,Qh5#,Qh5#,True
424,Qg7#,Qh3#,False
425,Qxg7#,Qxh6#,False
426,Rxe8#,,False
427,Qd1#,Qb1#,False
428,Qxh7#,Qh4#,False
429,Re7#,Qf7#,False
430,Rf1#,Qg1#,False
431,Qc8#,Qc8#,True
432,Qc2#,Qc2#,True
433,Qf7#,Qf7#,True
434,Re3#,Qf2#,False
435,Bxc7#,Bd3#,False
436,Rc8#,Rc8#,True
437,Qxd7#,Qxd7#,True
438,Rf2#,Rf2#,True
439,Qh4#,Qh4#,True
440,Qxf7#,Qxf7#,True
441,Rh1#,Qh6#,False
442,Qa8#,Qa8#,True
443,Qc1#,Qc1#,True
444,Qxh2#,Qxh2#,True
445,Qc3#,Qxf4#,False
446,Rd8#,Rd8#,True
447,Qf7#,Qf7#,True
448,Qe2#,Qe2#,True
449,Rh1#,Rh1#,True
450,Rxe8#,Rxb8#,False
451,Qxh7#,Qxh7#,True
452,Qh1#,Qh1#,True
453,Qxh4#,Qxh4#,True
454,R6h3#,Rg2#,False
455,Qg1#,Qg1#,True
456,Qxf7#,Qxf7#,True
457,Qxf7#,Qxf7#,True
458,Rxc8#,Rxc8#,True
459,Qg2#,Qh1#,False
460,Qh7#,Qh7#,True
461,Raxa2#,Raxa2#,True
462,Qc3#,Qc3#,True
463,Qxd2#,Qd5#,False
464,Qxh3#,Qxh3#,True
465,Ra5#,Ra5#,True
466,Re8#,Re8#,True
467,Qg7#,Qg7#,True
468,Ra8#,Qd8#,False
469,Be6#,Qh8#,False
470,Qg7#,Qf7#,False
471,Rbf2#,Rbf2#,True
472,Qxg2#,Qxg2#,True
473,c4#,Qh5#,False
474,Rhxh6#,Rhxh6#,True
475,Be2#,Rf8#,False
476,Qg6#,Qg6#,True
477,Qxg2#,Qxg2#,True
478,Qxh2#,Qxh2#,True
479,Qee1#,,False
480,Qxg7#,Qxg7#,True
481,Qg2#,Qg2#,True
482,Qh7#,Qh7#,True
483,Qd7#,Qc8#,False
484,Qxg2#,Qxg2#,True
485,Qf1#,Qh6#,False
486,Rc8#,Qa8#,False
487,Qxg7#,Qd8#,False
488,Rf1#,Qa5#,False
489,Qxc2#,Qxc2#,True
490,Qxb4#,Qc4#,False
491,Qxb8#,Qxb8#,True
492,Qg2#,Qh1#,False
493,Qg7#,Qh6#,False
494,Qxf7#,Qxf7#,True
495,Rh8#,Qh6#,False
496,Qcc1#,Qh8#,False
497,Qh2#,Qh2#,True
498,Qh2#,Qh2#,True
499,Rf7#,Qf7#,False
500,Qd7#,Qg7#,False
501,Qe2#,Qe2#,True
502,Qe8#,Qe8#,True
503,Qf2#,Qf2#,True
504,Qg1#,Qh1#,False
505,Rh5#,Qh2#,False
506,Qg8#,Qg8#,True
507,Rc8#,Qc8#,False
508,Qxh3#,Qxh3#,True
509,Qxg2#,Qxg2#,True
510,Qf2#,Qf2#,True
511,Qxh2#,Qxh2#,True
512,Rd1#,Rd2#,False
513,Qh8#,Qh8#,True
514,Rh5#,Rh5#,True
515,Qc7#,Qc7#,True
516,Re8#,,False
517,Qh1#,Qh1#,True
518,Qf7#,Qxf6#,False
519,Qxf2#,Qxf2#,True
520,f7#,Qh5#,False
521,Qd7#,Qh1#,False
522,Qxd8#,Qxd8#,True
523,Qf3#,Qf3#,True
524,Qxg2#,Qxg2#,True
525,Qa4#,Qa4#,True
526,Qb7#,Qb7#,True
527,Qd5#,Qd5#,True
528,Qd7#,Qe8#,False
529,Qxg1#,Qxg1#,True
530,Qh3#,Qh3#,True
531,Qg6#,Qh7#,False
532,Qg7#,Qh5#,False
533,Rxe1#,Rd8#,False
534,Qf7#,Qf7#,True
535,gxf8=Q#,Qe1#,False
536,Qxg7#,Qxg7#,True
537,Qxh7#,Qxh7#,True
538,Qe7#,Qe7#,True
539,Qxh7#,Qxh7#,True
540,Qd1#,Qd1#,True
541,Qf8#,Qf7#,False
542,Qg2#,Qg2#,True
543,Qg4#,Qg4#,True
544,Qc2#,Qc2#,True
545,Qh2#,Qh1#,False
546,Ra8#,Qxb7#,False
547,Rxe8#,Qh4#,False
548,Nxf6#,Qxe7#,False
549,Ra1#,Qa2#,False
550,Rf8#,Qf4#,False
551,a4#,Qc5#,False
552,Qf7#,Qf7#,True
553,Rxh3#,Rh2#,False
554,Qxf7#,Qxf7#,True
555,Qxc7#,Qxc7#,True
556,Qc7#,Qc7#,True
557,Qh7#,Qh7#,True
558,Bc6#,Bc6#,True
559,Qxg8#,Qxg8#,True
560,Qh2#,Qh2#,True
561,Re8#,Ra1#,False
562,Qg3#,Qg4#,False
563,Rc8#,Rc8#,True
564,Qxf2#,Qxf2#,True
565,Rh1#,Rh1#,True
566,e5#,Bb3#,False
567,Qd1#,Qh1#,False
568,Rc2#,Qg3#,False
569,Re8#,Qh7#,False
570,Qxc8#,Qxc8#,True
571,Qh3#,Qh3#,True
572,Qg2#,Qh4#,False
573,Nd7#,Nd7#,True
574,Rh1#,Rh1#,True
575,Qc7#,Qc7#,True
576,Rxf2#,Rf2#,False
577,Qxg2#,Qh2#,False
578,Rc1#,Rc1#,True
579,Qxf7#,Qh3#,False
580,Re1#,Re1#,True
581,Qh7#,Qh7#,True
582,Rc8#,Qf8#,False
583,Rh8#,Qh2#,False
584,Bh6#,Qa3#,False
585,Qxh7#,Qxh7#,True
586,Qxh2#,Qh3#,False
587,Qxf7#,Qxf7#,True
588,Qh1#,Qh2#,False
589,Nf3#,Nf3#,True
590,Qa2#,Qa2#,True
591,Re1#,Rg5#,False
592,gxh7#,Qf7#,False
593,Qxg7#,Qxg7#,True
594,Qg2#,Qg2#,True
595,Nd5#,Qg7#,False
596,Qa5#,Qa1#,False
597,Qxd1#,Qxd1#,True
598,Qxh2#,Qxh2#,True
599,Qh5#,Qh5#,True
600,e8=Q#,,False
601,Qe7#,Qh8#,False
602,Ra7#,Ra6#,False
603,Qxh6#,Qxh6#,True
604,Re2#,Qc1#,False
605,g3#,Qh7#,False
606,Rc2#,Rc8#,False
607,Rf1#,Qd8#,False
608,Qd8#,Qd8#,True
609,Qd1#,Qe4#,False
610,Rd1#,Rd7#,False
611,Qc3#,Qc3#,True
612,Qg6#,Qxh5#,False
613,Qxh7#,Qxh7#,True
614,Qxg2#,Qg6#,False
615,Qxb7#,Qxb7#,True
616,Rb1#,Qf3#,False
617,Qxa7#,Qxa7#,True
618,Qxg2#,Qxg2#,True
619,Qh2#,Qh2#,True
620,Rg1#,Rh8#,False
621,Qxg1#,Qxg1#,True
622,Rxb8#,Rxb8#,True
623,Ra1#,Ra1#,True
624,Qxf2#,Qxg3#,False
625,Qe6#,Qe6#,True
626,Rf5#,Rh8#,False
627,Qxh7#,Qxh7#,True
628,Qa2#,Qa2#,True
629,Qxf2#,Qe5#,False
630,Qg2#,Qxh1#,False
631,Qxh7#,Qxh7#,True
632,Qxh7#,Qxh7#,True
633,Qd8#,Qd8#,True
634,Qxg8#,Qxg8#,True
635,Qxh2#,Qh5#,False
636,Qb7#,Qb7#,True
637,Rh1#,Rh1#,True
638,Rxe8#,Rxe8#,True
639,Qxc8#,Qxc8#,True
640,Rc8#,Rc8#,True
641,Qc7#,Qg5#,False
642,Qg7#,Qg7#,True
643,Qh7#,Qh7#,True
644,Qxc1#,Qxc1#,True
645,Rc7#,Ra7#,False
646,Qe1#,Qe1#,True
647,Qxf2#,Qxf2#,True
648,Bg2#,Bg2#,True
649,Qxh3#,Qxh3#,True
650,Rh3#,Rh3#,True
651,Nf6#,Nf6#,True
652,Qxh6#,Qxh6#,True
653,Qxg2#,Qxg2#,True
654,Qxh7#,Qxh7#,True
655,Qb1#,Qb1#,True
656,Qh6#,Qh6#,True
657,Qxf7#,Qxf7#,True
658,Re7#,Re7#,True
659,Qe8#,Qe8#,True
660,Qb7#,Qb7#,True
661,Rf1#,Rf2#,False
662,Qxc2#,Qxc2#,True
663,Qh4#,Qh3#,False
664,Rb6#,Ra8#,False
665,Qg7#,Qg7#,True
666,Qf3#,Qf3#,True
667,Qdh8#,Qh4#,False
668,Qaa8#,Qa3#,False
669,Qh5#,Qh5#,True
670,Qh1#,Qh1#,True
671,Qxg2#,Qxg2#,True
672,Qb3#,Qb3#,True
673,Qb7#,Qb7#,True
674,Qg7#,Qg7#,True
675,Qh5#,Qh8#,False
676,Qxg7#,Qh4#,False
677,axb6#,Qxc4#,False
678,Qh1#,Qh1#,True
679,Rh1#,Rh1#,True
680,Qxh4#,Qxh4#,True
681,Qxd7#,Qxd7#,True
682,Qd1#,Qd1#,True
683,Qd1#,Qd1#,True
684,Qc8#,Qc1#,False
685,Rxh2#,Rxh2#,True
686,Qh7#,Qh7#,True
687,Rf8#,Qc5#,False
688,Qxc2#,Qxc2#,True
689,Qd1#,Qd1#,True
690,Qg8#,Qg8#,True
691,Qxb5#,Qxb5#,True
692,Bxf6#,Rg8#,False
693,e8=Q#,e8=Q#,True
694,Rxe8#,Rxe8#,True
695,Re1#,Qh3#,False
696,Rd8#,Rd1#,False
697,Qe7#,Qh8#,False
698,Qg2#,Qg2#,True
699,Qhh1#,,False
700,Nxf7#,Qxh7#,False
701,Rh6#,Qxg1#,False
702,Qb1#,Qb1#,True
703,Rh1#,Rh1#,True
704,Rg8#,Rg8#,True
705,Rg1#,Qc1#,False
706,Qc7#,Qh4#,False
707,Qg5#,Qg5#,True
708,Qa1#,Qa1#,True
709,Qxe1#,Qh4#,False
710,Qh5#,Qh6#,False
711,Qb7#,Qc5#,False
712,Qh8#,Qh8#,True
713,Qxh7#,Qxe5#,False
714,Qxg7#,Qxg7#,True
715,Rf1#,Qc6#,False
716,R1h7#,R8h7#,False
717,Qh7#,Qh7#,True
718,Qxd1#,Qc4#,False
719,Qg2#,Qg2#,True
720,Rxd1#,Rxf3#,False
721,Qxg2#,Qxg2#,True
722,Qxc2#,Qh1#,False
723,Rxe8#,Rxe8#,True
724,Qe1#,Qe1#,True
725,Rh8#,Rh8#,True
726,Qh7#,Qh7#,True
727,Qg8#,Qg8#,True
728,Qxb2#,Qxb2#,True
729,Qh6#,Qh6#,True
730,Rh1#,Qxf2#,False
731,Bh6#,Rb8#,False
732,Rxa4#,Qh2#,False
733,Qf1#,Qh1#,False
734,Re8#,Re8#,True
735,Qxc8#,Qxc8#,True
736,Rg8#,,False
737,Qh2#,Qh2#,True
738,Bg6#,Qd8#,False
739,Qxb3#,Qc1#,False
740,Qxg2#,Qxg2#,True
741,f8=Q#,f8=Q#,True
742,Qf7#,Qf7#,True
743,Qxg6#,Qxg6#,True
744,Ra4#,Qa6#,False
745,Qxf7#,Qxf7#,True
746,Qh7#,Qh7#,True
747,Ra8#,Raa8#,False
748,Qh5#,Qh5#,True
749,Qf2#,Qf2#,True
750,f1=Q#,Qh1#,False
751,Rg8#,Rg8#,True
752,g3#,Rh7#,False
753,Qd2#,Qd2#,True
754,Qd1#,Qd1#,True
755,Rxf8#,Rf8#,False
756,Qxf7#,Qxf7#,True
757,Ndf6#,Qh4#,False
758,Rxh2#,Rxh2#,True
759,Qxg2#,Qxg2#,True
760,Qf2#,Qxh3#,False
761,Bg6#,Qh8#,False
762,Rf1#,Qf1#,False
763,Rxd8#,Qb6#,False
764,Qxh7#,Qxh7#,True
765,Qxh2#,Qxh2#,True
766,Rxe8#,Qe5#,False
767,Qgg8#,Qh6#,False
768,Qxh6#,Qxh6#,True
769,Rh1#,Rh1#,True
770,Rxf8#,Qf3#,False
771,Qxh7#,Qxh7#,True
772,Qxg2#,Qxg2#,True
773,R1h7#,R1h7#,True
774,Nxf2#,Qh4#,False
775,Qxg2#,Qxg2#,True
776,Qxf7#,Qxf7#,True
777,Rh1#,Rh1#,True
778,Qg3#,Qg3#,True
779,Rxe8#,Rxe8#,True
780,Qxb7#,,False
781,Qh8#,Qh8#,True
782,Rh8#,Rh8#,True
783,Qb4#,Qb4#,True
784,Rh7#,Rh7#,True
785,Nc6#,Qc8#,False
786,Rf5#,Qh4#,False
787,Qg7#,Qg7#,True
788,Rd8#,Qc8#,False
789,Qc5#,Qc5#,True
790,Qf2#,Qf2#,True
791,Rxh3#,Rxh3#,True
792,Qca5#,Qa6#,False
793,Qd8#,Qd8#,True
794,Rh1#,Qh1#,False
795,Rh8#,Rh8#,True
796,Qxf7#,Qxf7#,True
797,Ng4#,Ng4#,True
798,Qd2#,Qd2#,True
799,Qxg7#,Qxg7#,True
800,Rc4#,Rc4#,True
801,Rxc1#,Ra5#,False
802,Qf7#,Qh5#,False
803,Qxh2#,Qxh2#,True
804,Qf2#,Qe3#,False
805,Qxf2#,Qd6#,False
806,Qxg2#,Qd1#,False
807,Ne6#,Rd8#,False
808,Qxf7#,Qxf7#,True
809,Rh2#,,False
810,Ne4#,Nb5#,False
811,Qh8#,Qh8#,True
812,Qxh6#,Qxh6#,True
813,Qxg7#,Qxg7#,True
814,Qd8#,Qd8#,True
815,a5#,Qb4#,False
816,Ra8#,Ra8#,True
817,Rd8#,Qd2#,False
818,Qb1#,Qb1#,True
819,Qxg2#,Qh5#,False
820,Qf3#,Qh4#,False
821,Rh8#,Rh8#,True
822,Qg2#,Qg2#,True
823,Qf7#,Qf7#,True
824,Ra1#,Qh6#,False
825,Rxd8#,Rf8#,False
826,Nxa8#,Rdd1#,False
827,Qxg7#,Qxg7#,True
828,Re1#,Re1#,True
829,Rh8#,Rh8#,True
830,Re1#,Re1#,True
831,Qxg7#,Qxg7#,True
832,Qf3#,,False
833,Qb1#,Qb1#,True
834,Qe8#,Qe8#,True
835,Qf8#,Qf8#,True
836,Rf2#,Rf1#,False
837,Qg7#,Qg7#,True
838,Qf7#,Qg8#,False
839,Ra1#,Ra1#,True
840,Qh1#,Qh1#,True
841,Re1#,Qb1#,False
842,Qh4#,Qh4#,True
843,Bg7#,Qf6#,False
844,Qf7#,Qf7#,True
845,Qf1#,Qf1#,True
